packet_id,verify_command,expected_signal,rollback_command,owner
PKT-INFRA-001,"nvidia-smi --list-gpus | wc -l && python fsdp_smoke_test.py --steps 10",4 GPUs detected AND FSDP smoke test completes without error,terraform destroy -target=gpu_instance OR cloud provider instance termination,infra-lead
PKT-INFRA-002,"python -c ""import checkpoint_store; checkpoint_store.health_check()"" && ls ${CHECKPOINT_DIR}/test_ckpt/",Health check passes AND test checkpoint directory exists with metadata,rm -rf ${CHECKPOINT_DIR} && revert storage provisioning config,infra-lead
PKT-INFRA-003,"curl -s http://experiment-tracker.internal:5000/health | jq .status",Status returns 'healthy',docker-compose down experiment-tracker && rm -rf /data/experiment-logs,infra-lead
PKT-INFRA-004,"python -c ""from cost_emitter import CostEmitter; e=CostEmitter(); e.emit_test_event()"" && curl -s ${METRIC_STORE_URL}/cost/latest | jq .estimated_cost_usd",Test event emitted AND metric store returns valid cost record,git revert cost_emitter commits && remove cost_emitter from pipeline config,infra-lead
PKT-INFRA-005,"python -c ""from kill_switch import KillSwitchController; ks=KillSwitchController(); print(ks.status())"" | grep -c 'armed'",6 kill-switches report 'armed' status,git revert kill_switch commits && remove kill_switch from pipeline hooks,infra-lead
PKT-INFRA-006,"python -c ""from auto_downgrade import DowngradeController; dc=DowngradeController(); dc.simulate_downgrade('T1','T2')"" | grep 'success'",Simulated T1->T2 downgrade completes successfully,git revert auto_downgrade commits && remove downgrade hooks from training loop,infra-lead
PKT-INFRA-007,"curl -s http://dashboard.internal:3000/api/health | jq .status && curl -s http://dashboard.internal:3000/api/panels | jq length",Dashboard healthy AND 7 panels returned,docker-compose down dashboard && remove dashboard deployment config,infra-lead
PKT-DATA-001,"python data_pipeline/validate.py --check-modalities --check-counts && wc -l ${DATA_ROOT}/train/manifest.csv",All modality pairs present AND training manifest has expected row count,rm -rf ${DATA_ROOT}/train/ && revert data pipeline config,data-lead
PKT-DATA-002,"python eval_harness/verify_datasets.py --manifest 06_golden_dataset_manifest.csv --data-root ${EVAL_DATA_ROOT} --check-hashes",All 13 eval datasets pass hash verification,rm -rf ${EVAL_DATA_ROOT}/ && revert eval dataset generation scripts,data-lead
PKT-DATA-003,"ls ${EVAL_DATA_ROOT}/DS-ADV-ROBUST-001/ && ls ${EVAL_DATA_ROOT}/DS-OOD-INDIST-001/ && ls ${EVAL_DATA_ROOT}/DS-OOD-OUT-001/ | head -1",Adversarial and OOD dataset directories exist with files,rm -rf ${EVAL_DATA_ROOT}/DS-ADV-* ${EVAL_DATA_ROOT}/DS-OOD-*,data-lead
PKT-DATA-004,"python data_pipeline/contamination_check.py --eval-dir ${EVAL_DATA_ROOT} --train-index ${TRAINING_DATA_INDEX} --report",Report shows 0 contaminated samples,git revert contamination_check commits,data-lead
PKT-DATA-005,"python data_pipeline/quality_monitor.py --check-freshness --check-coverage --report",Freshness < 90 days AND all modality pairs have coverage > 0,git revert quality_monitor commits,data-lead
PKT-TRAIN-001,"python training/fsdp_train.py --dry-run --steps 5 --gpus 4 && cat /tmp/fsdp_dry_run.log | grep 'completed'",5 dry-run steps complete on 4 GPUs without error,git revert fsdp training loop commits,ml-lead
PKT-TRAIN-002,"python training/deepspeed_train.py --dry-run --steps 5 --stage 3 && python training/deepspeed_train.py --dry-run --steps 5 --stage 2",Both ZeRO-3 and ZeRO-2 dry runs complete without error,git revert deepspeed training loop commits,ml-lead
PKT-TRAIN-003,"python training/qlora_train.py --dry-run --steps 5 --bits 4 | grep 'completed'",QLoRA 4-bit dry run completes on 1 GPU,git revert qlora training loop commits,ml-lead
PKT-TRAIN-004,"python training/pruned_train.py --dry-run --steps 5 --sparsity 0.3 | grep 'completed'",Pruned training dry run completes with 30% sparsity,git revert pruned training loop commits,ml-lead
PKT-TRAIN-005,"python eval_harness/gate_evaluator.py --gate G1 --run-id ${BASELINE_RUN_ID} | grep 'PASS'",G1 gate returns PASS (cross_modal_accuracy >= 40%),Revert to pre-training checkpoint; no model artifact deletion,ml-lead
PKT-TRAIN-006,"python eval_harness/gate_evaluator.py --gate G2 --run-id ${MID_RUN_ID} | grep 'PASS'",G2 gate returns PASS (cross_modal_accuracy >= 60%),Revert to best G1-passing checkpoint,ml-lead
PKT-EVAL-001,"python eval_harness/cross_modal_accuracy.py --checkpoint ${CHECKPOINT_DIR}/test --dataset ${EVAL_DATA_ROOT}/DS-CM-BENCH-001 --seed 42 | jq .accuracy",Returns numeric accuracy value without error,git revert cross_modal eval suite commits,eval-lead
PKT-EVAL-002,"python eval_harness/text_accuracy.py --checkpoint ${CHECKPOINT_DIR}/test --dataset ${EVAL_DATA_ROOT}/DS-MOD-TEXT-001 --seed 42 | jq .accuracy",Returns numeric accuracy for each modality without error,git revert per_modality eval suite commits,eval-lead
PKT-EVAL-003,"python perf_harness/latency_bench.py --model-endpoint http://localhost:8000/predict --dataset ${EVAL_DATA_ROOT}/DS-PERF-LOAD-001 --num-requests 100 | jq .p50_ms",Returns p50 latency in milliseconds,git revert latency benchmark commits,eval-lead
PKT-EVAL-004,"python eval_harness/adversarial_eval.py --checkpoint ${CHECKPOINT_DIR}/test --dataset ${EVAL_DATA_ROOT}/DS-ADV-ROBUST-001 --seed 42 | jq .robust_accuracy",Returns numeric adversarial robustness score,git revert safety/robustness eval suite commits,eval-lead
PKT-EVAL-005,"python eval_harness/gate_evaluator.py --dry-run --gate G1 --simulate-pass && python eval_harness/gate_evaluator.py --dry-run --gate G1 --simulate-fail-consecutive",Simulated pass returns PASS; simulated consecutive fail triggers rollback,git revert gate_evaluator commits,eval-lead
PKT-EVAL-006,"python eval_harness/run_suite.py --mode quick --dry-run | grep 'orchestration complete'",Orchestrator completes dry run coordinating all suites,git revert eval_orchestrator commits,eval-lead
PKT-BUDGET-001,"python budget/cost_per_point.py --test --mock-data | jq .cost_per_point_usd",Returns valid cost-per-point value from mock data,git revert cost_per_point tracker commits,budget-owner
PKT-BUDGET-002,"python budget/pre_launch_estimator.py --gpu-type A100 --count 4 --hours 8 | jq .estimated_cost_usd",Returns estimated cost matching expected rate calculation,git revert pre_launch_estimator commits,budget-owner
PKT-BUDGET-003,"python budget/checkpoint_cost_gate.py --test --mock-progress 0.5 | jq .decision",Returns 'continue' or 'evaluate_downgrade' based on mock progress,git revert checkpoint_cost_gate commits,budget-owner
PKT-SAFETY-001,"python eval_harness/safety_classifier.py --health-check && python eval_harness/safety_classifier.py --test-input 'hello world' | jq .violation",Health check passes AND benign input returns false violation,docker-compose down safety-classifier && git revert deployment config,safety-lead
PKT-SAFETY-002,"python training/stability_monitor.py --test --inject-gradient-spike | grep 'ALERT'",Injected gradient spike triggers alert,git revert stability_monitor commits,safety-lead
PKT-SAFETY-003,"python infra/secret_rotation.py --env dev --dry-run | grep 'rotation plan'",Dry run produces rotation plan for dev secrets,git revert secret_rotation commits,safety-lead
PKT-OPS-001,"test -f docs/runbooks/training_runbook.md && wc -l docs/runbooks/training_runbook.md | awk '{print ($1 >= 50)}'",Runbook file exists with >= 50 lines,rm docs/runbooks/training_runbook.md,ops-lead
PKT-OPS-002,"test -f docs/runbooks/budget_review_runbook.md && wc -l docs/runbooks/budget_review_runbook.md | awk '{print ($1 >= 30)}'",Runbook file exists with >= 30 lines,rm docs/runbooks/budget_review_runbook.md,ops-lead
PKT-OPS-003,"cat .github/workflows/eval_ci.yaml | grep 'run_suite.py' && gh workflow view eval-harness --json state | jq .state",CI workflow references eval suite AND workflow state is 'active',git revert CI workflow commits && gh workflow disable eval-harness,ops-lead
PKT-OPS-004,"python ops/decision_log.py --test --log-entry 'test decision' && python ops/decision_log.py --read-latest | jq .decision_class",Test entry logged AND latest entry readable with valid decision_class,git revert decision_log commits && rm -f decision_log.jsonl,ops-lead
PKT-OPS-005,"python eval_harness/gate_evaluator.py --gate G3 --run-id ${PILOT_RUN_ID} | grep 'PASS' && python eval_harness/gate_evaluator.py --gate G4 --run-id ${PILOT_RUN_ID} | grep 'PASS'",Both G3 and G4 gates return PASS,Revert to best G2-passing checkpoint; retain all eval artifacts,ml-lead
