claim_or_requirement,evidence_artifact,owner,status,last_updated
"Cross-modal accuracy >= 70% (G3 threshold, pilot scorecard 1.1, SOW §6)","C.2 metric report: M-CM-001 value from eval harness (mean of 5 runs, stddev <= 3pp); 04_validation_evidence_checklist §3.2 line 1",ML Engineer,pending,
"Cross-modal F1 >= 0.68 (G3 threshold, pilot scorecard 1.2, SOW §6)","C.2 metric report: M-CM-002; 04_validation_evidence_checklist §3.2 line 2",ML Engineer,pending,
"Cross-modal consistency >= 65% (G3 threshold, pilot scorecard 1.3)","C.2 metric report: M-CM-003; 04_validation_evidence_checklist §3.2 line 3",ML Engineer,pending,
"Retrieval Recall@10 >= 0.60 (G3 threshold, pilot scorecard 1.4)","C.2 metric report: M-CM-004; 04_validation_evidence_checklist §3.2 line 4",ML Engineer,pending,
"Max modality gap <= 10pp (G3 threshold, pilot scorecard 1.5)","C.2 metric report: M-MOD-004 (all 5 runs); 04_validation_evidence_checklist §3.2 line 5",ML Engineer,pending,
"Inference latency p50 <= 50ms (G4 threshold, pilot scorecard 2.1)","C.3 latency report: M-LAT-001; 04_validation_evidence_checklist §3.3 line 1",Infra Engineer,pending,
"Inference latency p95 <= 100ms (G4 threshold, pilot scorecard 2.2, SOW §6)","C.3 latency report: M-LAT-002 (mean of 5 load tests, no run > 120ms); 04_validation_evidence_checklist §3.3 line 2",Infra Engineer,pending,
"Inference latency p99 <= 200ms (G4 threshold, pilot scorecard 2.3)","C.3 latency report: M-LAT-003; 04_validation_evidence_checklist §3.3 line 3",Infra Engineer,pending,
"Throughput >= 100 QPS (G4 threshold, pilot scorecard 2.4, SOW §6)","C.3 throughput report: M-THR-001; 04_validation_evidence_checklist §3.3 line 4",Infra Engineer,pending,
"GPU memory <= 16 GB (G4 threshold, pilot scorecard 2.5)","C.3 resource report: M-RES-001; 04_validation_evidence_checklist §3.3 line 5",Infra Engineer,pending,
"Uptime >= 99.0% during pilot (pilot scorecard 3.1, SOW §6)","D6 weekly status reports: uptime metric; 04_validation_evidence_checklist §4.2 line 2",Infra Engineer,pending,
"API error rate <= 1.0% during pilot (pilot scorecard 3.2, SOW §6)","D6 weekly status reports: error rate log; 04_validation_evidence_checklist §4.2",Infra Engineer,pending,
"Zero unresolved S1/S2 incidents during pilot (pilot scorecard 3.3)","Incident log from A4 incident templates; 04_validation_evidence_checklist §4.2 line 3",Tech Lead,pending,
"MTTR <= 4 hours (pilot scorecard 3.4)","Incident records: total_resolution_minutes field; A4/06_reliability_kpi_targets.csv MTTR S1 KPI",Tech Lead,pending,
"Safety violation rate <= 0.1% (G3 threshold, pilot scorecard 4.1, SOW §6)","D.1 safety report: M-SAF-001; 04_validation_evidence_checklist §3.2 line 9",Safety Engineer,pending,
"Adversarial robustness >= 50% (G3 threshold, pilot scorecard 4.2)","D.2 robustness report: M-ROB-001; 04_validation_evidence_checklist §3.2 line 6",ML Engineer,pending,
"OOD detection AUROC >= 0.85 (G3 threshold, pilot scorecard 4.3)","D.3 OOD report: M-ROB-002; 04_validation_evidence_checklist §3.2 line 7",ML Engineer,pending,
"Calibration ECE <= 0.05 (G3 threshold, pilot scorecard 4.4)","D.4 calibration report: M-ROB-003; 04_validation_evidence_checklist §3.2 line 8",ML Engineer,pending,
"Partner satisfaction >= 3.5/5.0 (pilot scorecard 5, SOW §6)","Pilot scorecard §5 survey results; 04_validation_evidence_checklist §4.3 line 2",Tech Lead,pending,
"All training data sources have license on file (pre-submission G.1)","G.1 data provenance section; 01_data_access_outreach_templates.md tracking table",Data Engineer,pending,
"No data contamination between train and eval sets (G1-G3)","Contamination check result; 04_validation_evidence_checklist §1.3 line 3",Data Engineer,pending,
"Compute cost within $500/month budget (A2 policy)","E.4 cost profile; 04_validation_evidence_checklist §3.5 line 1",Budget Owner,pending,
"G1 gate passed","G1 gate evaluator output; 04_validation_evidence_checklist §1.4 line 1",ML Engineer,pending,
"G2 gate passed","G2 gate evaluator output; 04_validation_evidence_checklist §2.3 line 1",ML Engineer,pending,
"G3 gate passed with human sign-off (T3 approval)","G3 gate evaluator output + human sign-off record; 04_validation_evidence_checklist §3.4 lines 1+3",ML Engineer,pending,
"G4 gate passed","G4 gate evaluator output; 04_validation_evidence_checklist §3.4 line 2",Infra Engineer,pending,
"Pilot SOW executed by both parties","Signed SOW document; 04_validation_evidence_checklist §4.1 line 1",Tech Lead,pending,
"Data handling agreement signed","Signed DPA/DUA; 04_validation_evidence_checklist §4.1 line 2",Tech Lead,pending,
"Recovery playbooks tested and operational (A4 state machine)","A4/01_recovery_state_machine.md + incident history; pre-submission E.3",Tech Lead,pending,
"No residual S1 blockers at submission","A4/04_blocker_report_template.md — no open blocker reports; pre-submission verification checklist",Tech Lead,pending,
